frame,direction,steering,steering_smooth,stable_direction
252,LEFT TURN,-1.0,-0.9979706707239488,LEFT TURN
253,LEFT TURN,-1.0,-0.9981736036515539,LEFT TURN
254,LEFT TURN,-1.0,-0.9983562432863985,LEFT TURN
255,LEFT TURN,-1.0,-0.9985206189577587,LEFT TURN
256,LEFT TURN,-1.0,-0.9986685570619828,LEFT TURN
257,LEFT TURN,-1.0,-0.9988017013557845,LEFT TURN
258,LEFT TURN,-1.0,-0.998921531220206,LEFT TURN
259,LEFT TURN,-1.0,-0.9990293780981854,LEFT TURN
260,LEFT TURN,-1.0,-0.9991264402883668,LEFT TURN
261,LEFT TURN,-1.0,-0.9992137962595301,LEFT TURN
262,LEFT TURN,-1.0,-0.999292416633577,LEFT TURN
263,LEFT TURN,-1.0,-0.9993631749702193,LEFT TURN
264,LEFT TURN,-1.0,-0.9994268574731974,LEFT TURN
265,LEFT TURN,-1.0,-0.9994841717258777,LEFT TURN
266,LEFT TURN,-1.0,-0.9995357545532899,LEFT TURN
267,LEFT TURN,-1.0,-0.9995821790979609,LEFT TURN
268,LEFT TURN,-1.0,-0.9996239611881648,LEFT TURN
269,LEFT TURN,-1.0,-0.9996615650693483,LEFT TURN
270,LEFT TURN,-1.0,-0.9996954085624135,LEFT TURN
271,LEFT TURN,-1.0,-0.9997258677061721,LEFT TURN
272,LEFT TURN,-1.0,-0.9997532809355549,LEFT TURN
273,LEFT TURN,-1.0,-0.9997779528419994,LEFT TURN
274,LEFT TURN,-1.0,-0.9998001575577995,LEFT TURN
275,LEFT TURN,-1.0,-0.9998201418020195,LEFT TURN
276,LEFT TURN,-1.0,-0.9998381276218176,LEFT TURN
277,LEFT TURN,-1.0,-0.9998543148596358,LEFT TURN
278,LEFT TURN,-1.0,-0.9998688833736722,LEFT TURN
279,LEFT TURN,-1.0,-0.9998819950363049,LEFT TURN
280,LEFT TURN,-1.0,-0.9998937955326744,LEFT TURN
281,LEFT TURN,-1.0,-0.9999044159794069,LEFT TURN
282,LEFT TURN,-1.0,-0.9999139743814662,LEFT TURN
283,LEFT TURN,-1.0,-0.9999225769433197,LEFT TURN
284,LEFT TURN,-1.0,-0.9999303192489877,LEFT TURN
285,LEFT TURN,-1.0,-0.9999372873240889,LEFT TURN
286,LEFT TURN,-1.0,-0.99994355859168,LEFT TURN
287,LEFT TURN,-1.0,-0.9999492027325121,LEFT TURN
288,LEFT TURN,-1.0,-0.9999542824592609,LEFT TURN
289,LEFT TURN,-1.0,-0.9999588542133347,LEFT TURN
290,LEFT TURN,-1.0,-0.9999629687920013,LEFT TURN
291,LEFT TURN,-1.0,-0.9999666719128012,LEFT TURN
292,LEFT TURN,-1.0,-0.9999700047215211,LEFT TURN
293,LEFT TURN,-1.0,-0.999973004249369,LEFT TURN
294,LEFT TURN,-1.0,-0.999975703824432,LEFT TURN
295,LEFT TURN,-1.0,-0.9999781334419888,LEFT TURN
296,LEFT TURN,-1.0,-0.9999803200977899,LEFT TURN
297,LEFT TURN,-1.0,-0.9999822880880109,LEFT TURN
298,LEFT TURN,-1.0,-0.9999840592792099,LEFT TURN
299,LEFT TURN,-1.0,-0.9999856533512889,LEFT TURN
300,LEFT TURN,-1.0,-0.99998708801616,LEFT TURN
301,LEFT TURN,-1.0,-0.999988379214544,LEFT TURN
302,LEFT TURN,-1.0,-0.9999895412930896,LEFT TURN
303,LEFT TURN,-1.0,-0.9999905871637806,LEFT TURN
304,LEFT TURN,-1.0,-0.9999915284474026,LEFT TURN
305,LEFT TURN,-1.0,-0.9999923756026623,LEFT TURN
306,LEFT TURN,-1.0,-0.9999931380423961,LEFT TURN
307,LEFT TURN,-1.0,-0.9999938242381565,LEFT TURN
308,LEFT TURN,-1.0,-0.9999944418143408,LEFT TURN
309,LEFT TURN,-1.0,-0.9999949976329068,LEFT TURN
310,LEFT TURN,-1.0,-0.9999954978696161,LEFT TURN
311,LEFT TURN,-1.0,-0.9999959480826545,LEFT TURN
312,LEFT TURN,-1.0,-0.999996353274389,LEFT TURN
313,LEFT TURN,-1.0,-0.9999967179469501,LEFT TURN
314,LEFT TURN,-1.0,-0.999997046152255,LEFT TURN
315,LEFT TURN,-1.0,-0.9999973415370296,LEFT TURN
316,LEFT TURN,-1.0,-0.9999976073833267,LEFT TURN
317,LEFT TURN,-1.0,-0.999997846644994,LEFT TURN
318,NEUTRAL,0.0,-0.8999980619804946,LEFT TURN
319,NEUTRAL,0.0,-0.8099982557824451,LEFT TURN
320,NEUTRAL,0.0,-0.7289984302042006,NEUTRAL
321,NEUTRAL,0.0,-0.6560985871837806,NEUTRAL
322,NEUTRAL,0.0,-0.5904887284654026,NEUTRAL
323,NEUTRAL,0.0,-0.5314398556188623,NEUTRAL
324,NEUTRAL,0.0,-0.4782958700569761,NEUTRAL
325,NEUTRAL,0.0,-0.4304662830512785,NEUTRAL
326,NEUTRAL,0.0,-0.38741965474615064,NEUTRAL
327,NEUTRAL,0.0,-0.3486776892715356,NEUTRAL
328,NEUTRAL,0.0,-0.31380992034438204,NEUTRAL
329,NEUTRAL,0.0,-0.28242892830994387,NEUTRAL
330,NEUTRAL,0.0,-0.25418603547894947,NEUTRAL
331,NEUTRAL,0.0,-0.22876743193105453,NEUTRAL
332,NEUTRAL,0.0,-0.20589068873794908,NEUTRAL
333,NEUTRAL,0.0,-0.18530161986415417,NEUTRAL
334,NEUTRAL,0.0,-0.16677145787773875,NEUTRAL
335,NEUTRAL,0.0,-0.15009431208996488,NEUTRAL
336,NEUTRAL,0.0,-0.1350848808809684,NEUTRAL
337,NEUTRAL,0.0,-0.12157639279287157,NEUTRAL
338,NEUTRAL,0.0,-0.1094187535135844,NEUTRAL
339,NEUTRAL,0.0,-0.09847687816222597,NEUTRAL
340,NEUTRAL,0.0,-0.08862919034600338,NEUTRAL
341,NEUTRAL,0.0,-0.07976627131140304,NEUTRAL
342,NEUTRAL,0.0,-0.07178964418026273,NEUTRAL
343,NEUTRAL,0.0,-0.06461067976223646,NEUTRAL
344,NEUTRAL,0.0,-0.058149611786012814,NEUTRAL
345,NEUTRAL,0.0,-0.052334650607411534,NEUTRAL
346,NEUTRAL,0.0,-0.04710118554667038,NEUTRAL
347,NEUTRAL,0.0,-0.042391066992003346,NEUTRAL
348,NEUTRAL,0.0,-0.03815196029280301,NEUTRAL
349,NEUTRAL,0.0,-0.03433676426352271,NEUTRAL
350,NEUTRAL,0.0,-0.03090308783717044,NEUTRAL
351,NEUTRAL,0.0,-0.027812779053453397,NEUTRAL
352,NEUTRAL,0.0,-0.025031501148108058,NEUTRAL
353,NEUTRAL,0.0,-0.022528351033297252,NEUTRAL
354,NEUTRAL,0.0,-0.020275515929967527,NEUTRAL
355,NEUTRAL,0.0,-0.018247964336970776,NEUTRAL
356,NEUTRAL,0.0,-0.016423167903273698,NEUTRAL
357,NEUTRAL,0.0,-0.014780851112946329,NEUTRAL
